PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_FUNCTION;REQUIREMENTS_ATTRIBUTES_ASSETTYPE;REQUIREMENTS_ATTRIBUTES_IMPLEMENTATIONGROUPS;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED;FRAMEWORK;NAME
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;858573892697;us-east-1;2026-09-13 22:26:32.575478;11.2;Perform automated backups of in-scope enterprise assets. Run backups weekly, or more frequently, based on the sensitivity of the data.;11. Data Recovery;Recover;Data;IG1 | IG2 | IG3;FAIL;No Backup Vault exist.;arn:aws:backup:us-east-1:858573892697:backup-vault;858573892697;backup_vaults_exist;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;858573892697;us-east-1;2026-09-13 22:26:32.575478;8.2;Collect audit logs. Ensure that logging, per the enterprise's audit log management process, has been enabled across enterprise assets.;8. Audit Log Management;Detect;Data;IG1 | IG2 | IG3;FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:us-east-1:858573892697:model-invocation-logging;model-invocation-logging;bedrock_model_invocation_logging_enabled;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;858573892697;us-east-1;2026-09-13 22:26:32.575478;8.2;Collect audit logs. Ensure that logging, per the enterprise's audit log management process, has been enabled across enterprise assets.;8. Audit Log Management;Detect;Data;IG1 | IG2 | IG3;FAIL;No CloudTrail trails are configured to log Amazon Bedrock API calls.;arn:aws:cloudtrail:us-east-1:858573892697:trail;858573892697;cloudtrail_bedrock_logging_enabled;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;858573892697;us-east-1;2026-09-13 22:26:32.575478;8.2;Collect audit logs. Ensure that logging, per the enterprise's audit log management process, has been enabled across enterprise assets.;8. Audit Log Management;Detect;Data;IG1 | IG2 | IG3;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:us-east-1:858573892697:trail;858573892697;cloudtrail_multi_region_enabled;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;858573892697;us-east-1;2026-09-13 22:26:32.575478;8.12;Collect service provider logs, where supported. Example implementations include collecting authentication and authorization events, data creation and disposal events, and user management events.;8. Audit Log Management;Detect;Data;IG3;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:us-east-1:858573892697:trail;858573892697;cloudtrail_multi_region_enabled;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;858573892697;us-east-1;2026-09-13 22:26:32.575478;8.2;Collect audit logs. Ensure that logging, per the enterprise's audit log management process, has been enabled across enterprise assets.;8. Audit Log Management;Detect;Data;IG1 | IG2 | IG3;FAIL;No CloudTrail trails enabled and logging management events were found.;arn:aws:cloudtrail:us-east-1:858573892697:trail;858573892697;cloudtrail_multi_region_enabled_logging_management_events;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;858573892697;us-east-1;2026-09-13 22:26:32.575478;8.12;Collect service provider logs, where supported. Example implementations include collecting authentication and authorization events, data creation and disposal events, and user management events.;8. Audit Log Management;Detect;Data;IG3;FAIL;No CloudTrail trails enabled and logging management events were found.;arn:aws:cloudtrail:us-east-1:858573892697:trail;858573892697;cloudtrail_multi_region_enabled_logging_management_events;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;858573892697;us-east-1;2026-09-13 22:26:32.575478;3.14;Log sensitive data access, including modification and disposal.;3. Data Protection;Detect;Data;IG3;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:us-east-1:858573892697:trail;858573892697;cloudtrail_s3_dataevents_read_enabled;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;858573892697;us-east-1;2026-09-13 22:26:32.575478;8.5;Configure detailed audit logging for enterprise assets containing sensitive data. Include event source, date, username, timestamp, source addresses, destination addresses, and other useful elements that could assist in a forensic investigation.;8. Audit Log Management;Detect;Data;IG2 | IG3;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:us-east-1:858573892697:trail;858573892697;cloudtrail_s3_dataevents_read_enabled;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;858573892697;us-east-1;2026-09-13 22:26:32.575478;3.14;Log sensitive data access, including modification and disposal.;3. Data Protection;Detect;Data;IG3;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:us-east-1:858573892697:trail;858573892697;cloudtrail_s3_dataevents_write_enabled;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;858573892697;us-east-1;2026-09-13 22:26:32.575478;8.5;Configure detailed audit logging for enterprise assets containing sensitive data. Include event source, date, username, timestamp, source addresses, destination addresses, and other useful elements that could assist in a forensic investigation.;8. Audit Log Management;Detect;Data;IG2 | IG3;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:us-east-1:858573892697:trail;858573892697;cloudtrail_s3_dataevents_write_enabled;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;858573892697;us-east-1;2026-09-13 22:26:32.575478;13.1;Centralize security event alerting across enterprise assets for log correlation and analysis. Best practice implementation requires the use of a SIEM, which includes vendor-defined event correlation alerts. A log analytics platform configured with security-relevant correlation alerts also satisfies this Safeguard.;13. Network Monitoring and Defense;Detect;Network;IG2 | IG3;PASS;CloudWatch metric alarm BillingAlarm has actions configured for the ALARM state.;arn:aws:cloudwatch:us-east-1:858573892697:alarm:BillingAlarm;BillingAlarm;cloudwatch_alarm_actions_alarm_state_configured;False;CIS-Controls;CIS Controls v8.1
